start	end	text
0	23700	好的,现在听得清楚,OK。好,那我们来,就是,有的同学可能没有参加过我们这个,就是见面会。那我再简单的介绍一下我们的这个课程。好,那我们课程呢,是一共有24节,然后每一节呢,是有一个小时。
23700	41300	我们主要学的内容呢,就是SAP相关的一些内容。那今天呢,我们主要是讲一下子,就是怎么样去学好这个SAP的英语。那第二个呢,我们要去做一下那个SAP的一个介绍。
42100	52580	那还有就是,我们怎么去login,怎么去logout,然后我们第一天去上班的时候,我们是不是要在系统里头要装一个什么,
52580	57580	装一个什么软件,我们才能去login啊。我看同学知道吗?
57580	60580	SAP软件吗?
60580	61580	啊哈。
61580	76580	SAP的那个软件,记得吗?嗯。好,那没关系,我们等会再讲。然后呢,我们,呃,我们进到项目以后呢,我们就是要,
76580	91580	去装这个SAP的一个软件,对吧?每个人都要去装。然后我们有可能也要去,呃,为我们用户装。那我们怎么去沟通,去帮别人装软件也好,或者你请,呃,公司的IT给你装软件也好。
91580	103580	我们要学怎么去沟通,然后我们怎么去给用户做一个基本的培训,怎么去上系统,怎么去下系统,然后系统里头的一些,呃,关键的一些字段,我们怎么去读啊。
103580	114920	好,那我们进了公司以后呢,我们是不是要去进一个项目,那我们假设我们的项目是从零到一,from zero to one, okay?
115460	120060	so,那我们就是要学一个这个实施方法论,那这是属于
