start	end	text
0	19200	Good morning, my dear students.
19200	23600	Hello, can you hear me?
23600	25300	Yes.
25300	34340	did you have a good sleep did you have a good stream last night yes okay just
34340	39540	recap let me share my screen
39540	49540	OK
49540	56540	We have our Unit 1 and Unit 2 class
56540	64540	So students do you remember what we learned in the Unit 1 and the Unit 2?
64540	68020	所以大家想听听你的知识
68020	69740	或分享你的工作
69740	74500	我们有很棒的同学完成了那个
74500	74920	工作
74920	76780	这里要表扬一下两位同学
76780	89080	有谁愿意就是分享一下你的这个
89080	90440	造句
94540	96540	好,好,好。
96540	98540	好,好。
98540	100540	好,好。
100540	102540	好,好。
102540	104540	好。
104540	106540	好。
106540	108540	好。
108540	110540	好。
110540	112540	好。
112540	114540	好。
114540	116540	好。
116540	118540	好。
118540	120540	好。
120540	122540	好。
122540	127140	你想要我分享你的作业吗
127140	128980	还是你自己来分享
128980	131720	有事
131720	135980	我有回音是吗
135980	136860	我不知道
136860	143540	其他人有听过这回音吗
143540	146380	这有一点
146380	166540	Katy,可可你可可分享你的工作或训练
166540	171580	你有很细节的训练
171580	173180	所以我非常感兴趣
173180	179740	好可以吗
179740	182320	你来分享你的那个 study plan
182320	182880	嗯
182880	187120	嗯
187120	189120	嗯
189120	189860	嗯
189860	190120	嗯
190120	190120	
190120	190120	
190120	190120	
190120	190120	
190120	190120	
190120	190120	
190120	190120	
190120	190120	
190120	190120	
190120	190120	
190120	190120	
190120	190120	
190120	190120	
190120	190120	
190120	190120	
190120	190120	
190120	190120	
190120	190120	
190120	190120	
190120	190120	
190120	190120	
190120	190120	
190120	190120	
190120	191120	嗯
191120	191120	
191120	191120	
191120	191120	
191120	191120	
191120	192120	嗯
192120	192120	
192120	192120	
192120	193120	嗯
193120	193120	
193120	193120	
193120	194120	嗯
194120	194120	
194120	194120	
194120	194120	
194120	195120	嗯
195120	195120	
195120	195120	
195120	196120	嗯
196120	196120	
196120	196120	
196120	197120	嗯
197120	197120	
197120	197120	
197120	198120	嗯
198120	198120	
198120	198120	
198120	199120	嗯
199120	199120	
203180	217580	好的
217580	219380	好的
219380	221500	我来找一下Katy的桌页
221500	226380	Katy
226380	227040	A Y
227040	231020	Let me go to H
231020	233020	Katty
233180	237320	或者你能再发一下子
237320	238940	我们大家看一下也行
238940	242740	好
242740	244060	那我看到了啊
244060	245280	就是我们H班的话
245280	247420	我今天早上有个FORWARD
247420	248720	那我们可以看一看
248720	251540	他的这个Homework是很棒的
251540	253580	So you just
253580	254380	you know
254380	255640	So you can open your
255640	258140	Homework and just introduce
258140	259440	a little bit about your
259440	262240	Study plan and all of others
262240	264000	maybe can follow your plan.
266920	268880	Can you see my screen now?
271480	272240	Screen?
273320	275840	No, I can't see your screen.
277160	279840	Yeah, so maybe I need to zap.
280800	286040	I'm not sure my laptop can open the screen or not.
289480	290400	Okay.
292240	306640	我认为你认为你认为你认为你认为你认为我们的视频
306640	312240	而不是要认为你认为你认为你的视频
312240	312800	OK
316800	319920	可以分享我的视频
319920	322720	你可以分享你的视频
322720	325560	让我停止我的分享
329520	333920	你可以开始分享你的视频
333920	338080	你可以先介绍你的视频
338080	338920	你可以开始
338920	343520	对
344480	346960	我可以分享我的视频
346960	350480	我打开我的
350480	351380	议目
351380	351420	议目
351420	351980	议目
351980	351980	
351980	352580	议目
352580	352960	议目
352960	353520	议目
353520	353780	议目
353780	354300	议目
354300	354480	对
354480	355960	你就把你的study plan
355960	356560	share一下
356560	357300	然后你来读
357300	358240	你来讲一讲
358240	359760	你不是要放录像
359760	360720	就是你要来讲
360720	362360	但是你去share
362360	363640	你的这个study plan
363640	365080	I think you have
365080	366300	very good study plan
366300	365080	I think you have
365080	368420	very good study plan
376960	379560	看我的视频吗
379560	380760	是的
390760	395960	可以
395960	397160	可以
397160	397960	可以
397960	397960	
397960	398960	你的
398960	399960	训练
399960	400960	你的
400960	401960	训练
401960	416500	I made a three-month plan schedule
416500	420760	and had two roles
420760	422660	the first law is
422660	425660	Law A is SAP
429660	431660	SAP English
434660	435660	to
436660	438660	come in to
438660	440660	Len more vocabulary
440660	442660	and senior experience
442660	445660	And plan B is
445660	446660	Auto
446660	448660	Auto business
450660	451660	Languages
451660	457300	你会学习一些商量,对吗?
457300	458300	是的
458300	460300	商量商量
460300	466060	然后使用它在你的工作工作的工作
468820	472660	我的签是三个步骤
472660	478300	第一个步骤是第一个步骤
478300	497300	我们在晚上的工作时,可以在晚上的工作时,可以听到SAP的报道,
497300	506300	BBC Business Daily or the Economic Postcasts
506300	514300	I usually hear the everyday inquiry hearing
514300	518300	I think this APP is very good
518300	526300	It has a lot of material inquiries
526300	531300	and in the
531300	535300	atron
535300	540300	tong
540300	543300	tong
543300	544300	and in
544300	546300	when
546300	550300	our
550300	551300	break
551300	552300	we can
552300	554300	learn some
554300	555300	learn some
555300	560300	we can learn some SAP work
560300	565300	we can learn five or ten
565300	568300	or if you are busy or tired
568300	571300	you can learn less
571300	574300	three or five, it's okay
576300	580300	and we know the words meaning
580300	584300	we can read and make sentences
585300	594700	在英文中,我认为可以开启作用SAPQI
594700	599140	在英文中,
599140	604060	学习的文章,
604060	608260	学习的文章,
608260	611340	我认为FICO,
611340	622420	所以我会学习更多的项目和费用
626380	626980	OK
626980	628980	你能去
630980	632980	你能去
632980	633980	去家
633980	636980	在
636980	638980	去家
638980	640980	在
640980	642980	去家
642980	644980	你能去
644980	646980	去家
646980	648980	去家
648980	650980	去家
650980	652980	去家
652980	654980	去家
654980	657240	时间的关系,那我们就是,我先,
657420	659420	再来就是,先分享,我们以后
659420	660960	有时间的话,我们可以
660960	663740	私下再交流,看看你的学习效果
663740	664980	或者你的计划,好吗?
665500	667680	好,那我先停止你的分享
667680	676540	好,我来分享我的屏幕
676540	677860	OK,
677860	677920	OK,
678980	681540	so thank you for sharing,
682160	683860	so can you see my screen right now?
683860	689860	上次我们学了第一堂课的话
689860	690760	我们学了是
690760	692940	就是 how to log in English
692940	696020	how to log in SAP in English
696020	698860	so let's play some game
698860	703500	so just quickly memorize those words
703500	707380	so if I click here
707380	708980	you should let me know
708980	711760	so this is command field
711760	713680	so I can put the T code
713680	715680	me23n
715680	717680	to display PO
717680	718680	ok
718680	720680	so here is my system
720680	722680	so let's play the game together
722680	723680	ok
726680	730680	so if I want to find the report
730680	733680	I just click the
733680	735680	menu
735680	736680	menu bar
736680	737680	or menu tree
737680	739680	so you call it
739680	743840	so what's the action
746880	747200	link
749120	752880	double click okay how you're not navigation how about navigation
753760	762720	oh navigation yeahuh-huh okay that's good and so if i want to see what's the start what's the
762720	766720	what's the system I'm logging in?
766720	770720	you can see the standard bar
770720	772720	okay very good
772720	774720	Starter bar
774720	778720	so if I want to put FB50
778720	782720	to create a financial document
782720	786720	so in which field I should put FB50?
786720	788720	common field
788720	790720	okay in the command field
790720	792720	非常好
792720	796720	如果我去改變的
796720	798720	或者是
798720	800720	的
800720	801720	的
801720	802720	SAP
802720	804720	所以
804720	806720	可以用
806720	808720	Burn
808720	810720	Burn
810720	812720	Burn
812720	814720	Burn
814720	816720	Burn
816720	818720	Burn
818720	819720	Burn
819720	828960	这就是 如果我去FB50 它示范
831760	833960	它示范 它示范 它示范
833960	835960	像这样 它示范
835960	837960	它示范 它示范
837960	839080	它示范 它示范
839080	843560	如果我放了 它示范
844560	847320	它示范 它示范
847320	849920	OK,OK,very good.
851220	855420	If I want to cancel it,so how can I go there?
856420	857620	-
857620	859320	-
859320	861320	-
861320	861820	-
861820	863320	-
863320	865320	-
865320	866320	-
866320	867320	-
867320	868320	-
868320	869320	-
869320	871320	-
871320	873320	-
873320	875320	-
875320	878620	如果我去到的 configuration,
878620	882920	哪些T code需要放在 command field?
882920	884620	SPRO
884620	888320	OK,非常好
888320	895120	OK,如果我忘了我的 password,
895120	898320	我忘了我的 password
898320	905320	你能看到我的帽子是
905320	908320	SU01
908320	911320	SU01
911320	915320	SU27
915320	917320	27
920320	923320	那如果这个密码
923320	927320	我们要重置密码的话,我怎么说?
928320	930320	they set the password
930320	932320	they set the password, yeah
932320	934320	对对对,是的
934320	936320	那如果是在我们在上线之前
936320	938320	so before we go live
938320	940320	all of the ID will be
940320	942320	在上线之前
942320	944320	所有的 ID
944320	946320	要去什么
946320	948320	initial password
948320	950320	send
950320	952320	initial password
952320	954320	no no no
954320	956320	动起来,谁在北方
956320	959520	Block the account, SAP account.
959520	961820	Block the account,可以,还有呢?还有另外一个词?
964040	965120	Freeze, gotcha.
965120	967920	很冷,很冷,然后很冷,很冷。
967920	969620	Freeze, freeze.
969620	970920	对了,对了。
970920	971920	Freeze, freeze.
971920	972920	对。
972920	973420	对。
973420	974420	Freeze, freeze.
974420	975420	Freeze, freeze.
975420	976420	对。
976420	978420	我上次这个好像是有点打不开。
978420	979420	Freeze SAP account.
979420	980420	OK。
980420	984520	好,那如果就是我们在这个,
984520	987960	如果我们有权限的问题的话
987960	989580	我们要用什么T-code去
989580	992200	which T-code we should put
992200	993640	PFCG
993640	995480	PFCG
995480	997100	权限
997100	997280	No
997280	998180	No
998180	998640	So
998640	999880	So
999880	1000480	So
1000480	1001760	So
1001760	1002280	So
1002280	1002440	So
1002440	1002820	Okay
1002820	1006060	Check the authority
1006060	1006220	No
1006220	1006860	No
1006860	1007200	No
1007200	1008300	Check the authority
1008300	1009960	如果我
1009960	1011780	如果就是用户的话
1011780	1013100	那你要告诉用户
1013100	1014500	就是说你的权限被锁住
1014500	1016560	你能不能给我一个这个
1016560	1018000	结一个屏
1018000	1019660	结一个屏怎么说
1019660	1020940	是关照他
1020940	1022340	给你叫
1022340	1024180	short screen
1024180	1025620	screenshot
1025620	1026520	screenshot
1026520	1028320	screenshot
1028320	1029200	screenshot
1029200	1029820	好的
1029820	1030940	好的
1030940	1031940	好的
1031940	1032900	好
1032900	1033760	那我们就是
1033760	1036620	还有就是有关设定会议的话
1036620	1038400	那跟设定会议的话
1038400	1040120	我们会有一些什么样的词
1040120	1041340	怎么样的词能跑
1041340	1041640	给你
1041640	1041660	给你
1041660	1043540	给你
1043540	1043540	
1043540	1043540	
1043540	1043680	给你
1043680	1043680	
1043680	1043840	给你
1043840	1044480	给你
1044480	1046880	Schedule a meeting, set up a meeting
1046880	1048320	那如果就是
1048320	1051300	Conduct a meeting
1051300	1054060	I'm sorry the time
1054060	1057140	So I'm focused on other things
1057140	1058820	Could you change another time?
1059000	1059440	Could you
1059440	1060980	Cancel the meeting
1060980	1061920	Cancel
1061920	1063220	Could you cancel the meeting?
1064000	1065380	然后我们要再约时间呢?
1065420	1066340	再约时间怎么说?
1068420	1069500	We will
1069500	1071160	Reschedule
