start	end	text
0	12800	大家好,我们继续这个OTC的步骤。上一节课我们已经讲了三个步骤。同学们想一想是哪三个步骤。
12800	27000	好的,我们看一看有pre-sale的一些activity,我们会有客户他们会做inquiry。
27000	31760	然后呢就是我们这边呢就是
31760	35380	我们公司呢会去做一个这个quotation
35380	38760	那就是一个是询价一个是报价
38760	41640	然后到第三步的时候呢是就是
41640	45780	我们就是要去建这个sales order
45780	47880	sales order呢是比较重要的
47880	52340	那是一个介于客户和这个销售
52340	55440	我们这个销售组织之间的一个合同
55440	59060	好 那我们继续到我们的step 4
59060	67780	好 step 4呢就是我们准备好了
67780	69140	我们就要去发货了
69140	71540	好 那我把这一节呢读一下
71540	75460	来看看这里面有什么重点的词
75460	79260	step 4 delivery or shipping
79260	82440	the first step in SAP SD floor
82440	88940	你用APSystems to produce and process delivery orders
88940	95480	based on information from the customer's pickup sheet processing floor.
96000	100060	There is an outlier agreement between you and the customer.
100880	105840	In this case, a separate scheduling agreement for delivery order processing.
107020	108240	好,我们到这里看一下
108240	109900	Delivery
109900	111360	Shipping
111360	112460	那就是
112460	114100	第四步呢
114100	115640	就是SAP的这个
115640	116520	第四步就是
116520	118600	我们可以用这个SAP的系统呢
118600	121460	去产生或者去处理的这个
121460	122980	发运
122980	124260	发运单
124260	125920	这个呢
125920	127340	发运单的这个信息呢
127340	127600	就是
127600	129980	根据这个客户的这个
129980	130840	Pickup sheet
130840	131540	就是
131540	132880	减选单
132880	133820	那就是
133820	135640	我们来看一看
135640	137100	这里头的一些词
137100	138060	Produce
138060	140300	那就生产
140300	143240	那我们produce the product
143240	146860	或者就是produce deliver order
146860	148800	好那process
148800	150380	process就是处理
150380	152740	那我们处理这个词也是高频词
152740	155020	那我们可以有很多
155020	157220	就是处理
157220	159260	不仅是处理deliver order
159260	161360	我们可以处理purchase order
161360	161960	对吧
161960	165240	我们可以去处理这个batch job
165240	166500	processed batch job
166500	168440	好那我们想一想
168440	170500	在我们的工作情景之中呢
170500	172780	这个process
172780	174820	那我们是可以经常用到的
174820	176580	好那pick up sheet呢
176580	177920	就是拣选单pick up
177920	180280	那还可以就是
180280	184580	那这个就是比如说我去接人的话
184580	186380	我也可以用这个pick up
186380	188180	好我们来看一下
188180	193100	pick up
193100	194720	那比如说接人
194720	196220	那我pick up my daughter
196220	197080	at school
197080	198380	就是接我的女儿
198380	199780	在学校接我的女儿
199780	201000	就pick up
201000	203540	那就是还有一个poa
203540	205180	那可能你们听说过
205180	207860	有一些很多男生
207860	209380	渣男很会poa
209380	211380	pua
211380	213420	那这个也就是
213420	216420	也就叫pick up artist
216420	219940	就是搭讪艺术
219940	220860	搭讪艺术
220860	222720	好那我们再看看
222720	224460	另外一个词叫outline
224460	226040	outline这个呢
226040	229520	我们之前就是这个是属于框架协议
229520	234200	Outline呢这里是作为一个动词的话呢
234200	236740	我们想一想我们之前学过一些outline
236740	238440	就是列出来对吧
238440	238940	List
238940	244020	那我们可以outline the details of our cutover plan
244020	250920	那我们就是把这个cutover plan的那个具体的细节我们列出来
