start	end	text
0	7000	是不是我们每次发晚了,他们就不知道上课还是怎么样?还是……let me see what's going on。
7000	11000	班农老师,稍微等个两分钟,我去里面催一下。
11000	15000	好的,好的,是不是发晚了?还是怎么样?
15000	16000	嗯,好。
16000	17000	嗯。
17000	22000	我今天还给你们准备了一些小 quiz,小考试的东西。
22000	26000	来考考你们的词汇量。
26000	27000	嗯。
27000	28000	可以。
28000	31320	就是我就是完形填空
31320	33840	就是我给你一个句子
33840	35460	然后你根据这个句子
35460	36520	你来填一个词
36520	37420	或者一个动词
37420	39080	或者一个就是你觉得
39080	40600	一个什么词放在那里
40600	46580	正好也可以验证一下
46580	47720	最近的学习情况
47720	48840	对对对对
48840	49660	就是要验证一下
49660	51980	因为你们已经也十几堂课了
51980	54080	对因为上次有一个同学
54080	55940	他说他也去学又学了雅思
55940	57740	又学了什么什么什么
57740	61820	然后他就觉得他是担心开会听不懂
61820	64060	然后开会说不出来
64060	65900	我说那说不出来的话
65900	67240	我说那你就先做笔记
67240	70000	就是先把关键词给提炼出来
70000	71100	提炼出来以后
71100	72520	然后你看那个
72520	75300	然后你把那个先把一个句子结构先抓住
75300	76340	抓住这个句子结构
76340	77960	然后再把里头填词就行了
77960	79820	还是要熟
79820	81140	就是说还是要熟
81140	82060	嗯
82060	87060	嗯
87740	97400	我们这里马上过Thanksgiving Day了
97400	98360	所以就希望
98360	101140	我是希望我的那个program不要出什么纰漏
101140	102500	结果偏偏
102500	104960	结果有些by的data
104960	106380	然后通过一些by的data
106380	107100	我测出来
107100	108860	这个怎么要检查Cast Center
108860	109620	要检查这个
109620	110340	要检查那个
110340	112660	后来今天就work with the developer
112660	113320	才发现
113320	116220	他们把那个code写得好复杂
116220	117560	又去检查这个东西
117560	119900	又去检查这个成本中心组数据
119900	120700	又检查那个
120700	123440	我就说其实make it simple
123440	124020	对
124020	125620	然后这个东西其实已经
125620	127500	已经technical go live了
127500	131260	business go live是明年一月份吧
131260	133880	所以我是希望我们有什么
133880	134860	thanksgiving day啊
134860	136820	又是这个节又是那个节啊
136820	139040	反而就是说这些buy的data呢
139040	140820	还反而就是出错
140820	143500	反而让我看清楚了
143500	145720	他们那个写code这些太复杂了
145720	149280	所以有时候
149280	152500	有时候白的data也不是坏事情
152500	155620	也是检测出来一些
155620	159760	他们写code的一些问题
159760	165940	我们找了一个什么地方的
165940	167500	印度的一个developer
167500	168560	就不方便
168560	172280	他每次我们8点钟上班的时候
172280	174540	他说他去吃晚饭
174540	176500	哎我说你们吃晚饭怎么那么晚呢
176500	179380	七八点钟才开始吃晚饭
179380	182860	就时间上就很合
182860	183580	很不合适
183580	184360	时间差有时间差
184360	184840	对
184840	187720	为什么不找国内呢
187720	189780	那他其实应该将就我们
189780	190780	对吧
190780	192940	你知道我们大概什么时间来
192940	193800	而且你吃饭
193800	195040	你吃饭的话
195040	197240	你其实如果是work from home在家里的话
197240	199220	你就在家旁边端着个饭碗都可以了
199220	199540	对吧
199540	201800	那你也不用像吃餐馆一样的
201800	203340	一去吃一个小时
203340	205500	半个小时就OK了嘛
205500	206300	对吧
206300	209900	因为有时候你要去跟开发调查程序的时候
209900	212320	真的就需要让他随时的
212320	213540	back off在旁边的
213540	215800	而不是我发一个问题
215800	217500	然后你一小时之后再回我
217500	217960	然后
217960	222440	这样的效率非常的低
222440	223420	对
223420	224620	非常低找人又找不到
224620	226080	我就不太喜欢那个什么
226080	228580	而且他有点推责任
228580	230080	就说这个我不清楚
230080	230660	那个不清楚
230660	231740	因为我说
231740	233480	那我给你的逻辑
233480	234960	我给他写好的逻辑
234960	237420	我说那个逻辑里头哪一条
237420	239740	哪一条是要去那个Caster Center
239740	240540	去check
240540	241960	validate这个Caster Center
241960	244040	我说你收到过这个对吧
244040	244720	我说哪个table
244720	247360	上面我给没给你这个table
247360	248180	没有这个table
248180	249080	为什么会写出
249080	249800	会写出
249800	250740	I don't know
250740	252440	我不是这个original designer
252440	252920	什么什么
252920	254640	OK你不是original designer
254640	257140	那现在就是你了
257140	258180	那没办法对吧
258180	259200	就让他
259200	262000	你只要保证自己的开发说明书没问题
262000	264480	就让开发按照开发功能说明书写
264480	265360	一个字都不要改
265360	268100	我做Sumbo都是这样子
268100	270760	就是你就是按照我这上面去写
270760	272220	你只要按照上面写
272220	273900	我能保证是没问题的
273900	275180	但是如果你去改的话
275180	277700	那就那肯定就是他们的锅呀
277700	280120	因为我们是叫我们叫
280120	284340	shift shift
284340	287280	就是从旧的那个系统
287280	288340	然后拷贝过来
288340	291140	从ECC系统的拷贝过来
291140	292340	但是拷贝过来的话
292340	293460	我们还是改了一些东西
293460	294620	也不是说完全照搬
294620	297160	照抄啊对吧
297160	298960	Katy来了
298960	302500	那董老师我们这边是
302500	303560	如果是两个人的话
303560	304440	我们就上一节课
304440	305340	如果三个人的话
305340	306480	我们就上两节课
306480	309660	再找一个人吧
309660	311820	这边怎么这么少啊现在
311820	313720	现在还有太多
313720	313980	就啊
313980	314680	先加了
314680	315860	稍等一下
315860	316240	稍等一下
316240	317060	我给你打个电话
317060	321220	对可能没有起来
321220	321580	对
321580	323440	如果昨天
323440	328980	那B班的话我也提醒一下
328980	329860	晚上有课
329860	338220	我现在学音也就有一个问题
338220	340500	我感觉我好像听不懂
340500	342100	对我听不懂
342100	344480	就是我说我觉得还能顺口说两句
344480	345420	但是我听不懂
345420	348040	这个听就是要磨耳朵
348040	349920	就是像当收音机听
349920	352280	突然有一天你就会打开
352280	353740	我也是这样子的有这个阶段
353740	356740	我来美国我听不懂不敢接电话的
356740	358180	我不敢answer the phone
358180	360580	那我就是把那个电视打开
360580	362700	电视打开不管是新闻也好
362700	363260	或是什么的话
363260	365400	我能听进去几个字
365400	368180	那个就飘过来就飘过来几个句子
368180	371000	飘过来几个字就飘过来几个字
371000	373100	终于有一天
373100	374540	然后你就会能听懂了
374540	376900	就是要靠磨耳朵
376900	377860	就是要靠磨耳朵
377860	379140	你不能就是放弃
379140	382900	你就把它当做收音机
382900	384000	就是或者你有什么
384000	386300	那个有好的那个美剧啊什么的
386300	387220	你就把它打开
387220	388980	就是你做家务的时候
388980	390860	或者就是你在厨房那个
390860	392320	做饭的时候啊
392320	395920	你就把它当做一个收音机来听都可以
395920	398700	它终究肯定是会有一些那个句子啊
398700	400080	或者一些词啊
400080	400600	慢慢的话
400600	402600	你就可以飘到你的耳朵里面来
402600	404140	嗯
404140	405040	明白
434140	434700	你的那个
434700	435940	roadblock
435940	437580	没有
437580	440020	so far so good?
441700	441880	yeah
441880	443300	everything is good
443300	445600	everything is smooth
445600	447340	everything is smooth
447340	448080	还记得吗
448080	449360	慎滑
449360	452660	smoothly
452660	453280	smooth
453280	457620	一切都很顺利
457620	458700	ok
458700	460020	好
460020	461180	那我今天
461180	462080	就我们
462080	463200	好
463200	465160	如果没有三个同学的话
465160	466280	我们就上一个小时课
466280	467820	如果有三个同学的话
467820	468780	我们就上两个小时
468780	469040	好吧
469040	471880	其实我是想给你们快一点上完也可以
471880	472700	好
472700	473660	那我们今天呢
473660	474560	有一个小 quiz
474560	478120	就是给我们的课堂是专门准备的
478120	479600	那这一第一个呢
479600	482280	so the first item is the project status
482280	483560	so
483560	486800	I'd say daily meeting
486800	490460	so we need to update our project status
490460	493020	so the project manager will ask you
493020	498060	所以,你跟你的建筑有關,請請請請請請請
498060	500020	請請請請請請
500020	502020	請請請請請
502020	505020	請請請請請
505020	508020	我們來看看第一個句子
508020	512020	我們請Cathy,你來想想
512020	514020	我會在分享
514020	515020	我會在分享
515020	516020	我會在分享
516020	517020	我會在分享
517020	518020	我會在分享
518020	519020	我會在分享
519020	520020	我會在分享
520020	521020	我會在分享
521020	522020	我會在分享
523020	527180	我可以分享我的视频,大家可以看到我的视频吗?
528700	529420	是的
530540	534020	OK,这里是个课题,OK,
535620	537020	中文字幕。
537020	540580	第一个是,Project Starters,
540580	543780	当你认为的,
546700	548820	你需要更新的,
548820	552020	或你的 progress,或你的 ticket,OK?
552020	555420	所以,這裡是第一位,我們是在這次的
555420	557420	MILESTONE。
557420	560220	好,提醒你一下子。
560220	562220	里程碑。
562220	563220	嗯哼。
566220	568820	就是,我們需要開啟的TICKET
568820	571420	什麼?
571420	573620	TR開頭的。
573620	575620	傳承頭。
575620	576620	啊?
576620	577620	他給目標。
577620	579620	他給目標
579620	581620	目標
581620	583620	We are target for the
583620	585620	We are target
585620	587620	We keep
587620	589620	OK,再想一想
589620	591620	有點像了
591620	593620	We are on track
593620	595620	for the milestone
595620	597620	On track
597620	599620	就是可以追蹤的
599620	601620	On track
601620	603620	OK,這個學過對吧
603620	605620	On track
605620	608120	好,那看第二题,
608120	611620	这个configuration是什么?
611620	612620	Completed.
612620	614620	非常好,
614620	617620	and ready for test.
617620	619620	除了这个completed,
619620	621620	只外我们可以认识一下,
621620	623620	我们可以认识一下,
623620	625620	我们可以认识一下,
625620	627620	我们可以认识一下,
627620	629620	我们可以认识一下,
629620	631620	我们可以认识一下,
631620	633620	我们可以认识一下,
633620	636160	除了这个completed之外我们还可以说什么?
636740	638880	The configuration is ready, okay?
639160	639720	It's ready.
640460	643220	The configuration is ready in Q-system.
