start	end	text
0	30000	请不吝点赞 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅 订阅
30000	60000	嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 嗨 �
60000	90000	请问一下
90000	96740	我们可以review,在review上次学的课的时候,你就大概了解一下我们上次课学的一些什么。
97880	98220	OK。
100220	104660	然后这个是我们上次学的一些单词。
104660	118000	你等会也可以分享一下你的这个
118000	121000	就是德国之旅
121000	122940	ok
122940	135920	上次的话好像那个我们调时间的时候
135920	137580	好几个人都说可以的
137580	139180	ok
151000	157720	我进来了
157720	159440	哦
159440	160560	哦
160560	162520	哦 某某你的英文名字是Crystal是吗
162520	163200	哦 对
163200	164320	哦 OK
164320	165600	Katty
165600	166560	还有谁
166560	168000	嗯
168000	169560	好
169560	171620	某某你最近的学习情况怎么样
171620	175220	so could you please update what's going on with your study
175220	176400	with your English study
176400	178560	哦
178560	180560	哦
181000	191240	我只听英文在早上
191240	195520	然后工作
195520	202000	只要一天一天
202000	205520	你学习了吗
205520	215120	我认为我更加的听话
215120	216920	听话
216920	219240	听话
219240	224240	我听话
224240	228920	我听话
228920	231920	因为我会有很多关系
231920	238920	对我们的训练和生活生活
238920	245920	我认为我有少许的改变
245920	249920	我的听力
249920	253920	因为在开始
253920	269280	我认为一句话,但是如果我能听到多次,我能明白
269280	271520	the meaning of the conversation.
272320	273520	OK, that's great.
273800	274360	Yeah.
275680	281240	So it'll give me a little confidence.
281240	281840	Confident.
282120	282400	OK.
282400	284880	Confident about English.
285440	287200	Yeah, so you're very confident about it.
287200	292920	So right now you have some confidence about improving your English.
293520	294040	Yeah.
298000	299040	So how about Taylor?
299280	304280	可以分享一下你的旅行去英国?
304280	311280	我只是去英国了七天
311280	318280	我经过了一段时间的旅行
