start	end	text
510000	516200	你就说上三个小时的课可以免费获得一次的
540000	563000	就比如说你买了二十四次课,但只剩二十一次,还剩三次的话,你可以去问安妮老师去打仪
570000	591000	安妮老师你好
591000	611000	我在国内没做过,但是我做过类似的,在国内我也有做过其他的ERP,没有做过SAP
611000	623000	就是我大概在2010年的时候,我是在国内做了一个叫IFS的ERP,然后之后我就一直在日本做SAP了
642000	667000	对,对对对,你说的太对了,因为你说了这个话题的话,就是说是考虑在国内做日本项目,比如说日本的企业,他们要做中国的分公司的时候,他要按中国的这种政策法律规则来做他的各种系统,对吧
667000	691000	所以你考虑比较全,那还有一种情况呢,就是比如说在国内的会议点日语,他做的是日本的项目,或者说做的欧美的项目,他们不需要考虑国内的这种会计准则啊,或者说各种法律法规啊,他是要考虑海外的这种Global的这种法律法规,对吧
691000	702000	嗯,就净量的不同的情况,但是国内的这些我都知道,我的了解,因为我们,呃,我们演成的时候也会,比如说我现在在这个项目他也要做国内的
703000	706000	我们也会有sport的,嗯,对
706000	726000	对,对,对,对,对,因为你时间也很宝贵,就是,呃,我们这次,可能
726000	728000	嗯
757000	758000	嗯
763000	764000	嗯
769000	770000	嗯
782000	783000	嗯
787000	788000	嗯
805000	807000	之前张老师有没有交过看
808000	821000	呃,关于日语培训,呃,我没有,呃,日语培训的这种经验,但是,呃,比如说在日本的这种日语,日语,他,因为我在日本也有,呃,快要20年了嘛,就是
822000	834000	就是日语,呃,他是一个什么结构,或者说他的文化,还有,呃,在项目里边,每个,每个阶段,他每一次,呃,就是有目的了,去对话,对
834000	846000	这些套路也好,或者说这些规则也好,或者说该讲不该讲,或者说一些,呃,比较适合日本人的这种,呃,理一样,或者是这种,呃,文化的一些,呃,东西呢,我都是非常熟悉的,对
865000	866000	嗯
882000	883000	嗯
894000	895000	嗯
924000	925000	嗯
954000	955000	嗯
961000	962000	嗯
970000	971000	嗯
972000	973000	哦
1003000	1009920	咱们做还是其他人做
1009920	1039900	好的,那个,啊,你呢是你去说完我后面我准备了些问题我等你说完我在这里读跟他问你哈
1099900	1104900	MING PAO CANADA MING PAO TORONTO
1129900	1134900	MING PAO CANADA MING PAO TORONTO
1159900	1164900	MING PAO CANADA MING PAO TORONTO
1189900	1194900	MING PAO CANADA MING PAO TORONTO
1219900	1224900	MING PAO CANADA MING PAO TORONTO
1224900	1229900	MING PAO CANADA MING PAO TORONTO
1229900	1234900	MING PAO CANADA MING PAO TORONTO
1234900	1239900	MING PAO CANADA MING PAO TORONTO
1239900	1245900	MING PAO CANADA MING PAO TORONTO
1545900	1546900	对对对
1554700	1555700	对
1561300	1562300	嗯嗯
1562300	1563300	行
1563300	1564300	安妮老师非常谢谢你
1564300	1565300	就是你
1565300	1567300	我听大圣老师说
1567300	1570300	你上课也有十几期
1570300	1571300	这么长的
1571300	1573300	周期啊
1573300	1574300	经验了
1574300	1575300	这是非常好的
1575300	1576300	可能对我来说
1576300	1578300	帮助会非常大
1578300	1580300	比如说我现在开始
1580300	1581300	教授准备
1581300	1583300	其实我自己也准备了一些东西
1583300	1585300	然后如果你能够提供一些
1585300	1586300	比如说这个
1586300	1588300	你的课程目录啊
1588300	1592300	还有你的一些PBT的一些东西
1592300	1594300	还有一些作业活动啊
1594300	1596300	还有学生的这种
1596300	1598300	他的安排他们做这种
1598300	1600300	画标啊这种模拟啊
1600300	1601300	ROPE LAY之类的
1601300	1603300	如果能有这些东西给我的话
1603300	1605300	我可能会按照日语
1605300	1606300	按照日本
1606300	1608300	还按照我自己的这种项目经验
1608300	1610300	一些沟通表达的一些套路
1610300	1613300	我会把它再重新做一下
1613300	1616300	做一下这种
1616300	1617300	试印吧
1617300	1619300	做一些这种调试调配
1619300	1621300	然后对
1621300	1623300	所以这块可能
1623300	1624300	可能得麻烦你
1624300	1626300	后面就是能够
1626300	1628300	为我们提供一些支持和帮助
1631300	1632300	谢谢
1632300	1633300	谢谢
1642300	1643300	对
1650300	1651300	这个没问题的
1651300	1653300	因为我
1653300	1654300	我之前
1654300	1656300	其实我做过一些相关的培训
1656300	1657300	或者说做过一些事情
1657300	1658300	或者说公开的演讲
1658300	1659300	这些事情我都做过
1659300	1660300	但是我每次
1660300	1661300	我自己的做法
1661300	1663300	是做得非常的觉得
1663300	1665300	我会写逐字稿的
1665300	1666300	就是我一定要把我的内容
1666300	1667300	按照我的时间
1667300	1669300	把它非常准确的写出来
1669300	1671300	然后再按照这个内容
1671300	1673300	一个个去把它做到
1673300	1674300	做到位
1674300	1675300	不仅有提纲
1675300	1676300	而且还有逐字稿
1676300	1677300	就保证我的
1677300	1678300	就是说
1678300	1679300	听众或者说
1679300	1680300	我实现计划的东西
1680300	1681300	能够
1681300	1682300	能够准确的
1682300	1685300	抵达到学生的那里
1685300	1686300	会给他一个
1686300	1688300	非常好的这种交付吧
1691300	1692300	嗯
1702300	1703300	嗯
1721300	1722300	对
1722300	1724300	你会要求他们开摄像头吗
1739300	1740300	那个
1751300	1752300	啊
1754300	1755300	啊
1756300	1757300	这个其实
1757300	1758300	我
1758300	1759300	我是比较希望
1759300	1761300	能够都开摄像头
1778300	1779300	对对
1779300	1780300	对对对
1780300	1781300	明白明白
1781300	1782300	就是说这个
1782300	1783300	可以不用做强制的
1783300	1784300	就是说
1784300	1785300	希望大家能够提高
1785300	1786300	就是你刚才说的
1786300	1787300	这个是一个非常好的
1787300	1789300	一个提示点
1789300	1790300	谢谢
1790300	1791300	嗯
1801300	1802300	嗯
1806300	1807300	嗯
1807300	1808300	好的
1808300	1809300	我刚才可能说过分了
1809300	1810300	哈哈哈
1820300	1821300	嗯
1831300	1832300	OK
1842300	1843300	我们
1848300	1849300	没有没有
1849300	1850300	没啥事
1850300	1851300	我想说一个显化
1851300	1852300	就是我们之前
1852300	1853300	做项目的时候
1853300	1854300	我们每次开会
1854300	1855300	客户或者说
1855300	1856300	项目管理
1856300	1857300	管理者他都要求我们
1857300	1858300	开摄像头
1867300	1868300	嗯
1879300	1880300	对
1889300	1890300	对
1890300	1891300	因为
1904300	1905300	对
1905300	1906300	可能有些女生
1906300	1907300	可能有些女生他们也不喜欢
1907300	1908300	开摄像头吧
1908300	1909300	可能
1909300	1910300	不会
1910300	1911300	嗯
1938300	1939300	嗯
1948300	1949300	嗯
1953300	1954300	嗯
1969300	1970300	嗯
1985300	1986300	嗯
1998300	1999300	嗯
2014300	2015300	谢谢
2015300	2016300	谢谢你们
2016300	2017300	那个安妮老师
2017300	2018300	我想你最后问几个
2018300	2019300	很简单的问题啊
2019300	2020300	比如说
2020300	2021300	嗯
2021300	2022300	就是你们上课的
2022300	2023300	你上课的
2023300	2024300	这么这么
2024300	2025300	这么多
2025300	2027300	这么多课里边
2027300	2028300	这核心的这种
2028300	2029300	比如说
2029300	2030300	方法啊
2030300	2031300	或者说
2031300	2032300	嗯
2032300	2033300	就是
2033300	2034300	是什么
2034300	2035300	比如说就是
2035300	2036300	嗯
2036300	2037300	你
2037300	2038300	我感觉他本质
2038300	2039300	是在教语言嘛
2039300	2040300	但是
2040300	2041300	但是我们更多的
2041300	2042300	还融合了一些
2042300	2043300	训练项目沟通能力的
